Region,CryptoPos,GiardiaPos
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Hawke's Bay,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,0,1
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Otago,1,0
Hawke's Bay,1,0
Canterbury,1,0
Hawke's Bay,1,0
Canterbury,1,0
Hawke's Bay,1,0
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Manawatu-Wanganui,1,0
Manawatu-Wanganui,0,1
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Manawatu-Wanganui,0,1
Manawatu-Wanganui,0,1
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Canterbury,1,0
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
Auckland,0,1
